batch_number,gets,puts,get_ratio,put_ratio
194,9934,0,1.0,0.0
195,9921,0,1.0,0.0
196,9937,0,1.0,0.0
197,9955,0,1.0,0.0
198,9948,0,1.0,0.0
199,9923,0,1.0,0.0
200,9960,0,1.0,0.0
201,9910,0,1.0,0.0
202,9909,0,1.0,0.0
203,9944,0,1.0,0.0
204,9925,0,1.0,0.0
205,9939,0,1.0,0.0
206,9945,0,1.0,0.0
207,9933,0,1.0,0.0
208,9930,0,1.0,0.0
209,9919,0,1.0,0.0
210,9912,0,1.0,0.0
211,9931,0,1.0,0.0
212,9935,0,1.0,0.0
213,9945,0,1.0,0.0
214,9927,0,1.0,0.0
215,9947,0,1.0,0.0
216,9952,0,1.0,0.0
217,9944,0,1.0,0.0
218,9915,0,1.0,0.0
219,9947,0,1.0,0.0
220,9890,0,1.0,0.0
221,9928,0,1.0,0.0
222,9956,0,1.0,0.0
223,9887,0,1.0,0.0
224,9926,0,1.0,0.0
225,9926,0,1.0,0.0
226,9927,0,1.0,0.0
227,9938,0,1.0,0.0
228,9931,0,1.0,0.0
229,9927,0,1.0,0.0
230,9936,0,1.0,0.0
231,9906,0,1.0,0.0
232,9943,0,1.0,0.0
233,9904,0,1.0,0.0
234,9939,0,1.0,0.0
235,9931,0,1.0,0.0
236,9916,0,1.0,0.0
237,9943,0,1.0,0.0
238,9948,0,1.0,0.0
239,9934,0,1.0,0.0
240,9940,0,1.0,0.0
241,9939,0,1.0,0.0
242,9949,0,1.0,0.0
243,9938,0,1.0,0.0
244,9922,0,1.0,0.0
245,9925,0,1.0,0.0
246,9921,0,1.0,0.0
247,9945,0,1.0,0.0
248,9921,0,1.0,0.0
249,9953,0,1.0,0.0
250,9911,0,1.0,0.0
251,9952,0,1.0,0.0
252,9917,0,1.0,0.0
253,9910,0,1.0,0.0
254,9938,0,1.0,0.0
255,9951,0,1.0,0.0
256,9961,0,1.0,0.0
257,9915,0,1.0,0.0
258,9878,0,1.0,0.0
259,9930,0,1.0,0.0
260,9937,0,1.0,0.0
261,9946,0,1.0,0.0
262,9919,0,1.0,0.0
263,9901,0,1.0,0.0
264,9954,0,1.0,0.0
265,9939,0,1.0,0.0
266,9940,0,1.0,0.0
267,9931,0,1.0,0.0
268,9903,0,1.0,0.0
269,9959,0,1.0,0.0
270,9934,0,1.0,0.0
271,9926,0,1.0,0.0
272,9937,0,1.0,0.0
273,9946,0,1.0,0.0
274,9954,0,1.0,0.0
275,9908,0,1.0,0.0
276,9942,0,1.0,0.0
277,9889,0,1.0,0.0
278,9912,0,1.0,0.0
279,9902,0,1.0,0.0
280,9939,0,1.0,0.0
281,9952,0,1.0,0.0
282,9958,0,1.0,0.0
283,9956,0,1.0,0.0
284,9931,0,1.0,0.0
285,9937,0,1.0,0.0
286,9931,0,1.0,0.0
287,9954,0,1.0,0.0
288,9862,0,1.0,0.0
289,9942,0,1.0,0.0
290,9923,0,1.0,0.0
291,9949,0,1.0,0.0
292,9950,0,1.0,0.0
293,9926,0,1.0,0.0
294,9901,0,1.0,0.0
295,9950,0,1.0,0.0
296,9943,0,1.0,0.0
297,9912,0,1.0,0.0
298,9933,0,1.0,0.0
299,9919,0,1.0,0.0
300,9929,0,1.0,0.0
301,9935,0,1.0,0.0
302,9930,0,1.0,0.0
303,9939,0,1.0,0.0
304,9955,0,1.0,0.0
305,9918,0,1.0,0.0
306,9932,0,1.0,0.0
307,9920,0,1.0,0.0
308,9950,0,1.0,0.0
309,9949,0,1.0,0.0
310,9923,0,1.0,0.0
311,9943,0,1.0,0.0
312,9933,0,1.0,0.0
313,9944,0,1.0,0.0
314,9940,0,1.0,0.0
315,9932,0,1.0,0.0
316,9903,0,1.0,0.0
317,9952,0,1.0,0.0
318,9933,0,1.0,0.0
319,9923,0,1.0,0.0
